driver_number,driver,team,final_position,grid_position,season,round,race_name,avg_lap_time_sec,fastest_lap_sec,lap_time_std,pit_stops,avg_pit_duration_sec,position_gain,race_pace_index
1,VER,Red Bull Racing,1.0,1.0,2023,1,Bahrain Grand Prix,98.890105263,96.236,4.991672889,2.0,0.0,0.0,1.0520671652304354
11,PER,Red Bull Racing,2.0,2.0,2023,1,Bahrain Grand Prix,99.100403508,96.344,5.212529451,2.0,0.0,0.0,1.0543044758074813
14,ALO,Aston Martin,3.0,5.0,2023,1,Bahrain Grand Prix,99.567947368,96.156,5.44837253,2.0,0.0,2.0,1.0592785583216309
55,SAI,Ferrari,4.0,4.0,2023,1,Bahrain Grand Prix,99.733122807,97.13,5.332552059,2.0,0.0,0.0,1.0610358186199413
44,HAM,Mercedes,5.0,7.0,2023,1,Bahrain Grand Prix,99.784438596,96.546,5.420850707,2.0,0.0,2.0,1.0615817545001915
18,STR,Aston Martin,6.0,8.0,2023,1,Bahrain Grand Prix,99.846280701,96.546,5.397959405,2.0,0.0,2.0,1.062239677230946
63,RUS,Mercedes,7.0,6.0,2023,1,Bahrain Grand Prix,99.870333333,97.035,5.522179455,2.0,0.0,-1.0,1.06249556718371
77,BOT,Alfa Romeo,8.0,12.0,2023,1,Bahrain Grand Prix,100.164614035,97.379,4.719029015,2.0,0.0,4.0,1.0656263461743054
10,GAS,Alpine,9.0,20.0,2023,1,Bahrain Grand Prix,100.184017543,95.068,6.13542574,3.0,0.0,11.0,1.0658327752563939
23,ALB,Williams,10.0,15.0,2023,1,Bahrain Grand Prix,100.465087719,97.144,5.821968583,3.0,0.0,5.0,1.0688230107557768
22,TSU,AlphaTauri,11.0,14.0,2023,1,Bahrain Grand Prix,100.484315789,96.637,6.11035312,3.0,0.0,3.0,1.0690275733967403
2,SAR,Williams,12.0,16.0,2023,1,Bahrain Grand Prix,100.676285714,96.037,5.754077601,3.0,0.0,4.0,1.0710698935486618
20,MAG,Haas F1 Team,13.0,17.0,2023,1,Bahrain Grand Prix,100.955232142,96.471,5.907864357,3.0,0.0,4.0,1.0740375350227669
21,DEV,AlphaTauri,14.0,19.0,2023,1,Bahrain Grand Prix,101.058196428,97.709,5.017133685,2.0,0.0,5.0,1.0751329463806971
27,HUL,Haas F1 Team,15.0,10.0,2023,1,Bahrain Grand Prix,101.082982142,96.616,7.052961308,3.0,0.0,-5.0,1.0753966354100175
24,ZHO,Alfa Romeo,16.0,13.0,2023,1,Bahrain Grand Prix,101.364017857,93.996,6.157506621,3.0,0.0,-3.0,1.0783865042874166
4,NOR,McLaren,17.0,11.0,2023,1,Bahrain Grand Prix,102.606763636,95.257,9.894332582,6.0,0.0,-6.0,1.0916077666709223
31,OCO,Alpine,18.0,9.0,2023,1,Bahrain Grand Prix,102.916243902,96.797,9.703621771,3.0,0.0,-9.0,1.0949002500319163
16,LEC,Ferrari,19.0,3.0,2023,1,Bahrain Grand Prix,99.644051282,97.17,4.694440799,2.0,0.0,-16.0,1.0600882088812291
81,PIA,McLaren,20.0,18.0,2023,1,Bahrain Grand Prix,103.27576923,100.691,5.984875662,0.0,0.0,-2.0,1.0987251503255457
